native,target,topic
sv,es,how-to-say-i-love-you
sv,de,how-to-say-i-love-you
sv,it,romantic-phrases-for-every-occasion
sv,nl,meeting-your-partner-s-family
sv,ru,how-to-say-i-love-you
sv,ru,pet-names-and-terms-of-endearment-50
sv,da,how-to-say-i-love-you
sv,da,pet-names-and-terms-of-endearment-50
sv,cs,how-to-say-i-love-you
sv,cs,meeting-your-partner-s-family
sv,cs,date-night-vocabulary
sv,el,meeting-your-partner-s-family
sv,el,grammar-basics-for-beginners
no,fr,pet-names-and-terms-of-endearment-50
no,it,how-to-say-i-love-you
no,pt,greetings-and-farewells
no,uk,how-to-say-i-love-you
no,uk,pet-names-and-terms-of-endearment-50
no,ro,how-to-say-i-love-you
no,sv,pet-names-and-terms-of-endearment-50
no,el,grammar-basics-for-beginners
no,hu,how-to-say-i-love-you
da,fr,date-night-vocabulary
da,de,meeting-your-partner-s-family
da,it,date-night-vocabulary
da,pl,pet-names-and-terms-of-endearment-50
da,pl,essential-phrases-for-couples
da,tr,date-night-vocabulary
da,ro,how-to-say-i-love-you
da,ro,pet-names-and-terms-of-endearment-50
da,ro,meeting-your-partner-s-family
da,sv,how-to-say-i-love-you
da,no,essential-phrases-for-couples
da,no,greetings-and-farewells
da,el,how-to-say-i-love-you
cs,es,meeting-your-partner-s-family
cs,es,date-night-vocabulary
cs,fr,pet-names-and-terms-of-endearment-50
cs,de,pet-names-and-terms-of-endearment-50
cs,it,pet-names-and-terms-of-endearment-50
cs,it,date-night-vocabulary
cs,it,pronunciation-guide-for-beginners
cs,pt,how-to-say-i-love-you
cs,pl,pet-names-and-terms-of-endearment-50
cs,ru,pet-names-and-terms-of-endearment-50
cs,uk,pet-names-and-terms-of-endearment-50
cs,tr,meeting-your-partner-s-family
cs,tr,greetings-and-farewells
cs,ro,meeting-your-partner-s-family
cs,sv,how-to-say-i-love-you
cs,el,pet-names-and-terms-of-endearment-50
el,de,pet-names-and-terms-of-endearment-50
el,de,meeting-your-partner-s-family
el,it,pet-names-and-terms-of-endearment-50
el,it,date-night-vocabulary
el,pt,is-this-language-hard-to-learn
el,uk,pet-names-and-terms-of-endearment-50
el,ro,pet-names-and-terms-of-endearment-50
el,no,date-night-vocabulary
el,hu,grammar-basics-for-beginners
hu,en,greetings-and-farewells
hu,de,how-to-say-i-love-you
hu,nl,how-to-say-i-love-you
hu,sv,pet-names-and-terms-of-endearment-50
hu,da,how-to-say-i-love-you
hu,cs,how-to-say-i-love-you
hu,el,how-to-say-i-love-you
